program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semidishonest;semi;3;NA;NA;NA;35;30;13.1052;13.22;63;151;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;40;30;11.3464;11.45;63;161;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;45;30;10.1967;10.30;64;154;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;50;30;9.13645;9.25;63;160;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;55;30;8.3693;8.48;65;157;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;60;30;7.79675;7.91;63;147;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;65;30;7.31984;7.41;63;153;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;70;30;6.97728;7.08;63;150;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;75;30;6.4458;6.55;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;80;30;6.02767;6.13;65;153;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;85;30;5.75267;5.85;60;156;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;90;30;5.40032;5.51;64;155;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;95;30;5.31863;5.42;64;149;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;100;30;4.92737;5.04;63;155;~900;49.5791;148.359
31;FIELD;semidishonest;temi;3;0.34;28;1;10;30;5.98729;11.55;39;73;~886;4.30665;9.39556
31;FIELD;semidishonest;temi;3;NA;NA;NA;15;30;4.02702;7.99;31;76;~886;4.30655;9.3956
31;FIELD;semidishonest;temi;3;NA;NA;NA;20;30;3.12309;6.13;29;75;~886;4.30656;9.3956
31;FIELD;semidishonest;temi;3;NA;NA;NA;25;30;2.71603;5.15;29;80;~886;4.30657;9.39566
31;FIELD;semidishonest;temi;3;NA;NA;NA;30;30;2.30818;4.36;29;80;~886;4.30663;9.39569
31;FIELD;semidishonest;temi;3;NA;NA;NA;35;30;2.06664;3.83;29;80;~886;4.30658;9.39544
31;FIELD;semidishonest;temi;3;NA;NA;NA;40;30;1.85237;3.42;31;81;~886;4.30665;9.39551
31;FIELD;semidishonest;temi;3;NA;NA;NA;45;30;1.64646;3.06;30;82;~886;4.30669;9.39575
31;FIELD;semidishonest;temi;3;NA;NA;NA;50;30;1.58747;2.87;29;80;~886;4.30663;9.39563
31;FIELD;semidishonest;temi;3;NA;NA;NA;55;30;1.45443;2.63;29;80;~886;4.30666;9.39546
31;FIELD;semidishonest;temi;3;NA;NA;NA;60;30;1.44066;2.54;29;79;~886;4.30657;9.3954
31;FIELD;semidishonest;temi;3;NA;NA;NA;65;30;1.35015;2.37;29;81;~886;4.30668;9.3957
31;FIELD;semidishonest;temi;3;NA;NA;NA;70;30;1.30159;2.25;29;81;~886;4.30658;9.3955
31;FIELD;semidishonest;temi;3;NA;NA;NA;75;30;1.19856;2.09;29;82;~886;4.30649;9.39548
31;FIELD;semidishonest;temi;3;NA;NA;NA;80;30;1.19287;2.05;29;80;~886;4.30664;9.39574
31;FIELD;semidishonest;temi;3;NA;NA;NA;85;30;1.29471;2.11;29;80;~886;4.30665;9.39562
31;FIELD;semidishonest;temi;3;NA;NA;NA;90;30;1.07413;1.85;29;82;~886;4.3066;9.39566
31;FIELD;semidishonest;temi;3;NA;NA;NA;95;30;1.0499;1.79;29;80;~886;4.30672;9.3959
31;FIELD;semidishonest;temi;3;NA;NA;NA;100;30;1.07213;1.78;29;79;~886;4.30663;9.39565
31;FIELD;semidishonest;soho;3;0.34;28;1;10;30;16.7841;51.53;168;97;~867;17.479;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;15;30;11.8342;31.97;110;96;~867;17.479;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;20;30;9.43447;24.56;109;97;~867;17.4792;52.1876
31;FIELD;semidishonest;soho;3;NA;NA;NA;25;30;7.9025;20.03;109;97;~867;17.4791;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;30;30;6.96224;17.08;112;95;~867;17.4791;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;35;30;6.29364;14.98;110;95;~867;17.4789;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;40;30;5.80064;13.41;109;95;~867;17.4789;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;45;30;5.31357;12.11;110;96;~867;17.4789;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;50;30;5.02889;11.17;108;96;~867;17.479;52.1875
31;FIELD;semidishonest;soho;3;NA;NA;NA;55;30;4.71605;10.31;110;95;~867;17.479;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;60;30;4.49736;9.66;110;96;~867;17.4789;52.1869
31;FIELD;semidishonest;soho;3;NA;NA;NA;65;30;4.33786;9.11;109;96;~867;17.4791;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;70;30;4.17262;8.63;113;96;~867;17.4791;52.1875
31;FIELD;semidishonest;soho;3;NA;NA;NA;75;30;4.00379;8.16;110;96;~867;17.4792;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;80;30;3.91028;7.82;110;95;~867;17.4791;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;85;30;3.78764;7.50;111;96;~867;17.4794;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;90;30;3.67057;7.18;111;97;~867;17.4793;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;95;30;3.61655;6.95;111;97;~867;17.4792;52.1876
31;FIELD;semidishonest;soho;3;NA;NA;NA;100;30;3.63204;6.82;110;97;~867;17.4792;52.1874
31;BINARY;malhonest;malicious-rep-bin;3;0.76;32;1;10;30;0.956491;1.01;16;22;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;15;30;0.643911;0.70;19;28;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;20;30;0.490534;0.54;18;34;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;25;30;0.395205;0.45;18;41;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;30;30;0.337324;0.39;18;47;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;35;30;0.312667;0.37;16;50;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;40;30;0.287887;0.34;17;53;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;45;30;0.272998;0.32;17;57;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;50;30;0.254285;0.30;16;60;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;55;30;0.249441;0.30;18;60;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;60;30;0.244599;0.30;17;64;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;65;30;0.22961;0.29;18;63;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;70;30;0.237331;0.29;19;65;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;75;30;0.211192;0.26;16;67;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;80;30;0.211809;0.26;17;65;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;85;30;0.195654;0.24;18;67;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;90;30;0.196869;0.24;16;65;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;95;30;0.199519;0.25;18;67;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;100;30;0.213959;0.27;18;66;NA;0.956064;NA
31;BINARY;malhonest;malicious-ccd;3;0.76;32;1;10;30;1.28311;1.34;13;30;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;15;30;0.86355;0.92;13;37;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;20;30;0.651485;0.70;15;46;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;25;30;0.519617;0.57;13;52;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;30;30;0.435288;0.49;15;62;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;35;30;0.382591;0.43;13;74;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;40;30;0.331528;0.39;13;74;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;45;30;0.299558;0.35;15;89;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;50;30;0.27535;0.33;15;100;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;55;30;0.267078;0.32;15;96;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;60;30;0.249387;0.30;13;98;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;65;30;0.239051;0.29;13;104;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;70;30;0.229627;0.29;15;100;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;75;30;0.230631;0.29;15;105;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;80;30;0.222314;0.27;13;117;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;85;30;0.212479;0.27;13;114;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;90;30;0.209563;0.26;15;117;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;95;30;0.215394;0.27;15;109;NA;1.16047;NA
31;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;100;30;0.397566;0.45;15;68;NA;1.16047;NA
31;BINARY;malhonest;ps-rep-bin;3;0.76;32;1;10;30;58.5679;58.62;374;4;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;15;30;39.384;39.44;371;6;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;20;30;29.7741;29.82;373;9;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;25;30;24.0422;24.09;372;9;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;30;30;20.2601;20.31;370;12;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;35;30;17.5527;17.61;373;13;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;40;30;15.5326;15.58;371;14;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;45;30;13.9522;14.00;372;16;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;50;30;12.6674;12.72;370;18;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;55;30;11.6526;11.70;370;19;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;60;30;10.7917;10.84;372;20;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;65;30;10.0423;10.09;371;21;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;70;30;9.43975;9.50;372;23;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;75;30;8.88951;8.94;372;24;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;80;30;8.44885;8.50;371;26;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;85;30;8.01819;8.07;372;26;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;90;30;7.64434;7.69;372;29;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;95;30;7.30908;7.36;370;29;NA;67.2439;NA
31;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;100;30;6.99822;7.05;372;30;NA;67.2439;NA
31;BINARY;malhonest;mal-shamir-bmr;3;0.76;32;1;10;30;29.0736;29.12;59;7;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;15;30;19.3897;19.44;59;9;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;20;30;14.5904;14.64;57;11;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;25;30;11.7144;11.76;56;14;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;30;30;9.78114;9.83;58;16;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;35;30;8.42133;8.47;60;18;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;40;30;7.42358;7.47;59;20;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;45;30;6.61168;6.66;58;22;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;50;30;6.00218;6.05;55;25;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;55;30;5.52511;5.58;59;26;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;60;30;5.12006;5.17;57;28;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;65;30;4.77317;4.82;58;30;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;70;30;4.5762;4.63;59;31;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;75;30;4.20384;4.26;60;32;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;80;30;4.19158;4.24;60;33;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;85;30;3.86434;3.92;57;36;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;90;30;3.68862;3.74;60;36;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;95;30;3.5487;3.60;57;38;NA;33.8032;NA
31;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;100;30;3.50459;3.56;59;38;NA;33.8032;NA
31;BINARY;semihonest;shamir-bmr;3;0.76;32;1;10;30;9.73091;9.79;45;5;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;15;30;6.54435;6.59;47;7;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;20;30;4.99274;5.04;44;9;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;25;30;4.00902;4.06;43;11;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;30;30;3.38482;3.44;45;13;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;35;30;2.9181;2.97;45;14;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;40;30;2.57729;2.63;45;16;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;45;30;2.32583;2.37;44;18;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;50;30;2.1025;2.15;45;18;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;55;30;1.92966;1.98;45;21;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;60;30;1.80472;1.86;43;21;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;65;30;1.675;1.73;43;22;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;70;30;1.56891;1.62;44;24;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;75;30;1.48551;1.54;45;26;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;80;30;1.4376;1.49;45;27;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;85;30;1.34734;1.40;44;28;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;90;30;1.27119;1.32;45;30;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;95;30;1.20961;1.26;45;30;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;100;30;1.16725;1.22;43;33;NA;10.0261;NA
31;BINARY;semihonest;rep-bmr;3;0.76;32;1;10;30;4.13824;4.18;37;8;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;15;30;2.79246;2.84;38;10;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;20;30;2.12607;2.17;38;13;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;25;30;1.7253;1.78;36;16;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;30;30;1.45341;1.50;37;18;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;35;30;1.28063;1.33;38;21;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;40;30;1.13009;1.18;36;21;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;45;30;1.03424;1.09;38;23;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;50;30;0.933226;0.98;39;27;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;55;30;0.867624;0.92;38;27;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;60;30;0.80489;0.85;39;29;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;65;30;0.76124;0.81;36;32;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;70;30;0.714308;0.77;37;32;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;75;30;0.683003;0.73;37;34;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;80;30;0.641628;0.69;36;31;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;85;30;0.613805;0.66;37;36;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;90;30;0.590018;0.63;36;39;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;95;30;0.571197;0.62;36;42;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;100;30;0.546592;0.59;36;41;NA;4.82333;NA
31;BINARY;semihonest;replicated-bin;3;0.76;32;1;10;30;0.150647;0.20;10;50;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;15;30;0.0928484;0.14;11;66;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;30;0.0967483;0.15;11;62;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;25;30;0.0913336;0.14;10;63;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;30;0.09031;0.14;10;74;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;35;30;0.0816079;0.13;12;59;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;30;0.0917084;0.14;11;74;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;45;30;0.0851925;0.13;10;69;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;30;0.0859672;0.14;11;60;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;55;30;0.0854533;0.13;9;64;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;60;30;0.0837987;0.13;10;68;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;65;30;0.0909297;0.14;9;73;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;70;30;0.0908378;0.14;9;74;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;75;30;0.0864283;0.13;10;66;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;80;30;0.0936169;0.14;10;70;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;85;30;0.0832396;0.13;10;73;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;90;30;0.085144;0.14;9;72;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;95;30;0.0844472;0.13;10;70;NA;0.009746;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;30;0.0821285;0.14;12;73;NA;0.009746;NA
31;BINARY;semihonest;ccd;3;0.76;32;1;10;30;0.360838;0.41;11;61;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;15;30;0.244483;0.30;12;83;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;20;30;0.180535;0.23;10;94;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;25;30;0.145737;0.20;12;89;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;30;30;0.125179;0.18;12;106;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;35;30;0.102193;0.16;16;114;NA;0.019444;NA
31;BINARY;semihonest;ccd;3;NA;NA;NA;40;30;0.0936686;0.15;12;101;NA;0.019444;NA
