program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semidishonest;semi;3;NA;NA;NA;40;30;5.27035;5.34;63;153;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;45;30;4.73085;4.81;61;150;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;50;30;4.29702;4.37;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;55;30;3.95268;4.03;65;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;60;30;3.65291;3.73;63;150;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;65;30;3.40372;3.48;63;149;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;70;30;3.19776;3.27;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;75;30;3.00316;3.08;65;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;80;30;2.84277;2.92;62;148;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;85;30;2.70388;2.78;65;151;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;90;30;2.57165;2.64;63;151;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;95;30;2.46363;2.54;62;150;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;100;30;2.36174;2.43;63;146;~900;49.5791;148.359
31;FIELD;semidishonest;temi;3;0.18;28;1;10;30;4.05169;6.82;39;58;~886;4.30649;9.39544
31;FIELD;semidishonest;temi;3;NA;NA;NA;15;30;2.76494;4.63;29;67;~886;4.30654;9.39552
31;FIELD;semidishonest;temi;3;NA;NA;NA;20;30;2.11955;3.54;31;68;~886;4.30655;9.3956
31;FIELD;semidishonest;temi;3;NA;NA;NA;25;30;1.74189;2.89;31;69;~886;4.30666;9.3957
31;FIELD;semidishonest;temi;3;NA;NA;NA;30;30;1.49465;2.46;30;69;~886;4.30664;9.39548
31;FIELD;semidishonest;temi;3;NA;NA;NA;35;30;1.32437;2.16;29;69;~886;4.30647;9.39551
31;FIELD;semidishonest;temi;3;NA;NA;NA;40;30;1.19103;1.93;31;69;~886;4.30659;9.3956
31;FIELD;semidishonest;temi;3;NA;NA;NA;45;30;1.08655;1.75;31;70;~886;4.3065;9.39549
31;FIELD;semidishonest;temi;3;NA;NA;NA;50;30;1.01027;1.61;31;70;~886;4.30675;9.39577
31;FIELD;semidishonest;temi;3;NA;NA;NA;55;30;0.940136;1.50;29;70;~886;4.30661;9.39569
31;FIELD;semidishonest;temi;3;NA;NA;NA;60;30;0.886447;1.40;31;70;~886;4.30669;9.39574
31;FIELD;semidishonest;temi;3;NA;NA;NA;65;30;0.839348;1.32;29;71;~886;4.30649;9.39538
31;FIELD;semidishonest;temi;3;NA;NA;NA;70;30;0.80419;1.26;29;72;~886;4.30664;9.39565
31;FIELD;semidishonest;temi;3;NA;NA;NA;75;30;0.760039;1.18;29;71;~886;4.30661;9.39538
31;FIELD;semidishonest;temi;3;NA;NA;NA;80;30;0.740178;1.14;30;71;~886;4.30669;9.39569
31;FIELD;semidishonest;temi;3;NA;NA;NA;85;30;0.709277;1.10;30;72;~886;4.30659;9.39563
31;FIELD;semidishonest;temi;3;NA;NA;NA;90;30;0.68639;1.05;29;73;~886;4.30667;9.39573
31;FIELD;semidishonest;temi;3;NA;NA;NA;95;30;0.667584;1.02;31;72;~886;4.30643;9.39557
31;FIELD;semidishonest;temi;3;NA;NA;NA;100;30;0.650108;0.99;29;73;~886;4.30666;9.39583
31;FIELD;semidishonest;soho;3;0.18;28;1;10;30;13.622;29.97;167;94;~867;17.479;52.1871
31;FIELD;semidishonest;soho;3;NA;NA;NA;15;30;9.41844;18.94;110;94;~867;17.479;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;20;30;7.32217;14.50;109;94;~867;17.4792;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;25;30;6.06911;11.84;110;94;~867;17.4789;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;30;30;5.23475;10.05;109;94;~867;17.4791;52.1871
31;FIELD;semidishonest;soho;3;NA;NA;NA;35;30;4.66949;8.82;113;94;~867;17.4791;52.1875
31;FIELD;semidishonest;soho;3;NA;NA;NA;40;30;4.19673;7.84;110;95;~867;17.479;52.1877
31;FIELD;semidishonest;soho;3;NA;NA;NA;45;30;3.86894;7.12;111;94;~867;17.4791;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;50;30;3.57568;6.51;111;95;~867;17.4791;52.1871
31;FIELD;semidishonest;soho;3;NA;NA;NA;55;30;3.34419;6.02;112;95;~867;17.4791;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;60;30;3.14688;5.61;112;95;~867;17.4791;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;65;30;2.98267;5.27;109;95;~867;17.479;52.187
31;FIELD;semidishonest;soho;3;NA;NA;NA;70;30;2.86182;5.00;111;95;~867;17.4792;52.1871
31;FIELD;semidishonest;soho;3;NA;NA;NA;75;30;2.72519;4.72;110;95;~867;17.4789;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;80;30;2.6186;4.50;112;95;~867;17.4793;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;85;30;2.53301;4.31;112;95;~867;17.4792;52.1876
31;FIELD;semidishonest;soho;3;NA;NA;NA;90;30;2.42023;4.11;111;95;~867;17.4789;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;95;30;2.37779;3.98;110;95;~867;17.4791;52.1869
31;FIELD;semidishonest;soho;3;NA;NA;NA;100;30;2.29423;3.83;109;95;~867;17.4791;52.1872
31;BINARY;malhonest;malicious-rep-bin;3;0.38;32;1;10;30;0.811571;0.86;18;11;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;15;30;0.549068;0.59;18;15;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;20;30;0.412789;0.45;18;21;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;25;30;0.334892;0.37;16;25;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;30;30;0.281061;0.32;18;28;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;35;30;0.242015;0.29;18;30;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;40;30;0.217558;0.26;19;35;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;45;30;0.200278;0.25;19;32;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;50;30;0.184511;0.23;18;36;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;55;30;0.17098;0.21;17;40;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;60;30;0.16372;0.21;17;41;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;65;30;0.159151;0.21;18;41;NA;0.956064;NA
